"選択された条件"
"表示銘柄件数：543件"

"ティッカー","名称","連動指標","市場","ファクトシート","コメント"
"BBUS","JPモルガン　ベータビルダーズ　米国株式ETF","モーニングスター 米国 Target Market Exposure指数","CBOE","https://am.jpmorgan.com/content/dam/jpm-am-aem/americas/us/en/literature/fact-sheet/etfs/FS-BBUS.PDF","インデックス運用のアプローチで米国の大型株と中型株へアクセスし、米国株式市場全体の約85%に効率的かつ低コストで投資するETF。MorningstarR US Target Market Exposure Indexと同等の投資リターンの獲得を目指します。"
"BIV","バンガード・米国中期債券ETF","バークレイズ米国政府/クレジット浮動調整(5-10年)インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS925R.pdf","残存期間が5～10年の米国債、政府機関債、投資適格(ムーディーズによる格付がBaa3以上)の社債および米国外の発行体による米ドル建て債券をカバーする、バークレイズ米国政府/クレジット浮動調整(5-10年)インデックスに連動したパフォーマンスを目指します。"
"BKCH","グローバルＸ ブロックチェーン ETF","ソラクティブ・ブロックチェーン・インデックス","NASDAQ","https://www.globalxetfs.com/content/files/BKCH-factsheet.pdf","ソラクティブ・ブロックチェーン・インデックスに連動する運用実績を目指す。同指数は、ブロックチェーン技術のさらなる進歩から利益を得ることができる企業で構成される。"
"BKLN","インベスコ　シニアローンETF","モーニングスター LSTA US レバレッジド・ローン100指数","NYSE Arca","https://www.invesco.com/us-rest/contentdetail?contentId=144766b451c41410VgnVCM100000c2f1bf0aRCRD&dnsName=us","モーニングスター LSTA US レバレッジド・ローン100指数に連動した投資成果を目指す。"
"BLV","バンガード・米国長期債券ETF","バークレイズ米国政府/クレジット浮動調整(10年超)インデックス","NYSE Arca","https://advisors.vanguard.com/iippdf/pdfs/FS927R.pdf","残存期間が10年超の米国債、政府機関債、社債および米国政府が保証する米国外の発行体による米ドル建て債券をカバーする、バークレイズ米国政府/クレジット浮動調整(10年超)インデックスに連動したパフォーマンスを目指します。"
"BMAX","REX ビットコイン関連保有企業 転換社債ETF","--","NASDAQ","https://www.rexshares.com/wp-content/uploads/2025/03/bmax-fact-sheet.pdf","企業財務にビットコインを保有する会社が発行する転換社債に投資し、トータルリターンを提供するアクティブ運用のETF。"
"BND","バンガード 米国トータル債券市場ETF","バークレイズ米国総合浮動調整インデックス","NASDAQ","https://institutional.vanguard.com/iippdf/pdfs/FS928R.pdf","バークレイズ米国総合浮動調整インデックスのパフォーマンスへの連動を目指します。パワーシェアーズ グローバルウォーター ポートフォリオは、従来のETFと異なる、インテリジェントETFであり、S&Pグローバルウォーター指数などよりも、高いパフォーマンスを目指しています。"
"BNDX","バンガード トータル インターナショナル債券ETF（米ドルヘッジあり）","バークレイズ・グローバル総合（米ドル除く）浮動調整RIC基準インデックス","NASDAQ","https://institutional.vanguard.com/iippdf/pdfs/FS3711R.pdf","バークレイズ・グローバル総合（米ドル除く）浮動調整RIC基準インデックス（米ドルヘッジベース）のパフォーマンスに連動した成果を目指す。"
"BOTZ","グローバルX ロボット＆AI・ETF","Indxx・グローバル・ロボティックス＆アーティフィシャル・インテリジェンス・セマティック・インデックス","NASDAQ","https://www.globalxetfs.com/content/files/BOTZ-factsheet.pdf","「Indxx・グローバル・ロボティックス＆アーティフィシャル・インテリジェンス・セマティック・インデックス」の価格およびイールドのパフォーマンス(手数料および費用控除前)に連動する投資成果を提供することを目指す。"
"BRF","ヴァンエック ベクトル ブラジル小型株ETF","マーケット・べクトル・ブラジル小型株インデックス","NYSE Arca","https://www.vaneck.com/us/en/investments/brazil-small-cap-etf-brf-fact-sheet.pdf","ヴァンエック・べクトル・ブラジル小型株インデックスの価格と利回り（手数料や経費控除前）に連動するパフォーマンスを目指します。このインデックスは、ブラジルに本社があるか、主にブラジルの取引所に上場されている、あるいは売上高の50%以上をブラジル国内の売上高が占める、小型株へのエクスポージャーを提供します。したがって、当ファンドには同国への投資リスクが伴います。"
"BRZU","Direxion デイリー MSCI ブラジル ブル2倍 ETF","MSCI ブラジル 25/50 指数","NYSE Arca","https://www.direxion.com/uploads/BRZU-Fact-Sheet.pdf","MSCI ブラジル 25/50 指数の200%のパフォーマンスに連動した成果を目指す。"
"BSV","バンガード・米国短期債券ETF","バークレイズ米国政府/クレジット浮動調整(1-5年)インデックス","NYSE Arca","https://institutional.vanguard.com/iippdf/pdfs/FS924R.pdf","残存期間が1～5年の米国債、政府機関債、投資適格(ムーディーズによる格付がBaa3以上)の社債および米国外の発行体による米ドル建て債券をカバーする、バークレイズ米国政府/クレジット浮動調整(1-5年)インデックスに連動したパフォーマンスを目指します。"
"BUFD","FT Vest ラダー ディープバッファーETF","--","CBOE","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=d6ee3e33-be9b-4a0f-948d-356e9627dc45","12本のFT Vest米国株ディープバッファーETFのラダー型ポートフォリオを通じて、投資家に米国大型株へのエクスポージャーを提供する一方、ダウンサイドリスクを抑えることにより、投資目的の達成を目指します。"
"BUFR","FT Vest ラダー バッファーETF","--","CBOE","https://www.ftportfolios.com/Common/ContentFileLoader.aspx?ContentGUID=d98f48d9-b7be-442e-a11f-93677df9c500","12本のFT Vest米国株バッファーETFのラダー型ポートフォリオを通じて、投資家に米国大型株へのエクスポージャーを提供する一方で、ダウンサイドリスクを抑えることにより、投資目的の達成を目指します。"
"BUG","グローバルX　サイバーセキュリティ　ETF","Indxx ・サイバーセキュリティ・インデックス","NASDAQ","https://www.globalxetfs.com/content/files/BUG-factsheet.pdf","Indxx ・サイバーセキュリティ・インデックス（ Indxx　Cybersecurity Index）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を提供することを目指す"
"BWX","SPDRブルームバーグ 世界国債（除く米国）ETF","ブルームバーグ・バークレイズ・グローバル国債（除く米国）キャップド指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-bwx.pdf","ブルームバーグ・バークレイズ・グローバル国債（除く米国）キャップド指数の価格と利回りのパフォーマンスに、経費控除前で、概ね連動する投資成果を上げることを目標とする。"
"CCEF","カラモス　CEF インカム&アービトラージETF","--","NYSE Arca","https://www.calamos.com/globalassets/media/documents/product-literature/factsheet/calamos-cef-income-and-arbitrage-etf-fact-sheet.pdf","純資産価値 (NAV) に対してディスカウント（割安）で取引される収益性の高いクローズドエンド型ファンドに投資します。"
"CEPI","REX クリプト エクイティ プレミアム インカムETF","--","NASDAQ","https://www.rexshares.com/wp-content/uploads/2024/12/cepi-fact-sheet.pdf","純資産の少なくとも80%を、BITA クリプト・アセッツ＆デジタル・ペイメント指数（BITA Crypto Assets & Digital Payments Index）を構成する証券に投資します。"
"CHAU","Direxion デイリー CSI 300 中国A株 ブル2倍 ETF　","CSI 300 指数","NYSE Arca","https://www.direxion.com/uploads/CHAU-Fact-Sheet.pdf","CSI 300 指数の200%のパフォーマンスに連動した成果を目指す。"
"CIBR","FT ナスダック サイバーセキュリティ ETF","ナスダック　CTA　サイバーセキュリティ指数","NASDAQ","https://www.firsttrust-teneo.jp/PDF/qreports/CIBR_Factsheet.pdf","米国上場サイバーセキュリティ関連銘柄に投資します。"
"CLIP","グローバルＸ 米国T-Bill 1-3カ月 ETF","--","NYSE Arca","https://www.globalxetfs.com/content/files/CLIP-factsheet.pdf","残存期間が1ヶ月以上3ヶ月未満の米国政府発行の短期米国債に投資します。"
"CLOU","グローバルX クラウド・コンピューティング ETF","Indxx・グローバル・クラウド・コンピューティング・インデックス","NASDAQ","https://www.globalxetfs.com/content/files/CLOU-factsheet.pdf","「Indxx・グローバル・クラウド・コンピューティング・インデックス」の価格およびイールドのパフォーマンス(手数料および費用控除前)に連動する投資成果を提供することを目指す。"
"CNRG","SPDR S&P Kensho クリーン パワー ETF","S&P Kenshoクリーン・パワー指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-cnrg.pdf","人口知能と定量的ウェイト付けメソドロジーを活用し、クリーン・エネルギー・セクターのイノベーション推進に寄与する商品やサービスを提供している企業（太陽光、風力、地熱、水力発電などの分野を含む）を捉える指数の連動を目指します。"
"CNXT","ヴァンエック ベクトル 中国AMC中小企業・創業板ETF","中国中小企業・創業板100指数に連動した成果を目指す","NYSE Arca","https://search.sbisec.co.jp/v3/ex/etf_CNXT_150616.pdf","中国中小企業・創業板100指数に連動した成果を目指す。"
"COM","Direxion オースピス ブロード コモディティ戦略ETF","オースピス・ブロード・コモディティ指数","NYSE Arca","https://www.direxion.com/uploads/COM-Fact-Sheet.pdf","オースピス・ブロード・コモディティ・インデックスに連動する投資成果を追求する。同指数は商品先物契約のポートフォリオを追跡することによって商品市場における上昇トレンドを捉えながら下落トレンド中のリスクを最小化することを目指すルール・ベースの指数である。大豆、トウモロコシ、小麦、綿花、砂糖、原油、天然ガス、ガソリン、ヒーティングオイル、銅、金及び銀などに分散投資する。"
"CONI","グラナイトS 2倍 ショートCOIN デイリーETF","--","NASDAQ","https://graniteshares.com/media/itllumyf/coni-factsheet-graniteshares-2x-short-coin-daily-etf.pdf","コインベース・グローバル普通株式の日次変化率の-200％の投資成果を追求する。"
"CONL","グラナイトS 2倍 ロング COINデイリーETF","--","NASDAQ","https://graniteshares.com/media/hsdjb2ku/conl-graniteshares-2x-long-coin-daily-etf.pdf","コインベース（NASDAQ：COIN）普通株式の日々のパフォーマンスの200％の日々の投資成果を追求する。"
"COPX","GLX コッパー マイナーズ ETF","ソラクティブ・グローバル・コッパー・マイナーズ・インデックス","NYSE Arca","https://globalxetfs.co.jp/content/files/COPX-factsheet_J.pdf","ソラクティブ・グローバル・コッパー・マイナーズ・インデックスの価格と利回りに概ね連動する投資成果を目指す。"
"CRWL","グラナイトS 2倍　ロング　CRWD　デイリーETF","--","NASDAQ","https://graniteshares.com/media/pwrcl33s/graniteshares-2x-long-crwd-daily-etf.pdf","クラウドストライク普通株式の日次変化率の200％の投資成果を追求する。"
"CTEC","グローバルX クリーンテック ETF ","Indxx Global CleanTech Index","NASDAQ","https://globalxetfs.co.jp/content/files/CTEC-factsheet_J.pdf","Indxx グローバル・クリーンテック・インデックスのパフォーマンスに連動した成果を目指す。"
"CURE","Direxion デイリー ヘルスケア株 ブル3倍 ETF","The S&P（R）ヘルスケア セレクト セクター インデックス","NYSE Arca","https://www.direxion.com/uploads/CURE-Fact-Sheet.pdf","--"
"CWB","SPDR（R）ブルームバーグ コンバーチブル債券 ETF","ブルームバーグ・バークレイズ・米国コンバーチブル・ボンド>$500MM 指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-cwb.pdf","ブルームバーグ・バークレイズ・米国コンバーチブル・ボンド>$500MM 指数に連動した成果を目指す。"
"CWEB","Direxion デイリー CSI中国インターネット指数株 ブル 2倍 ETF","CSIオーバーシーズ・チャイナ・インターネット指数","NYSE Arca","http://search.sbisec.co.jp/v3/ex/etf_CHAU_160510.pdf","CSIオーバーシーズ・チャイナ・インターネット指数の日々のパフォーマンス（手数料・費用控除前）の200％の投資成果を目指し運用する。"
"CWI","SPDR MSCI 全世界株式（除く米国）ETF","MSCIオール・カントリー・ワールド（除く米国）指数","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-cwi.pdf","MSCI オール・カントリー・ワールド（除く米国）指数のトータルリターンに、経費控除前で、連動する投資成果を上げることを目標とします。"
"CXSE","ウィズダムツリー 中国株ニューエコノミーファンド","ウィズダムツリー・チャイナ・エックスステートオウンド・エンタープライズ・インデックス","NASDAQ","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-cxse-1061.pdf","ウィズダムツリー中国株ニューエコノミーファンド(WisdomTree China ex-State-Owned Enterprises Fund)は、国有企業を除く中国企業へ投資することを目的とし、ウィズダムツリー・チャイナ・エックスステートオウンド・エンタープライズ・インデックス(WisdomTree China ex-State-Owned Enterprises Index)の価格及び利回りのパフォーマンス(手数料及び経費控除前)に連動する投資成果を追及する。bca"
"DEM","ウィズダムツリー 新興国株　高配当ファンド","ウィズダムツリー エマージング マーケッツ インデックス","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dem-1070.pdf","ウィズダムツリー エマージング マーケッツ インデックスに連動した成果を目指す。"
"DES","ウィズダムツリー 米国小型株配当ファンド","配当支払いを行う時価総額の小さい企業の投資成果","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/us-equity/wisdomtree-factsheet-des-1008.pdf","配当支払いを行う時価総額の小さい企業の投資成果への連動を目指す。"
"DEW","ウィズダムツリー 世界株 高配当ファンド","ウィズダムツリー グローバル エクイティ インカム インデックス","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dew-1039.pdf","ウィズダムツリー グローバル エクイティ インカム インデックスに連動した成果を目指す。"
"DFE","ウィズダムツリー 欧州小型株配当ファンド","ウィズダムツリー ヨーロッパ スモールキャップ ディビデンド インデックス","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dfe-1046.pdf","ウィズダムツリー ヨーロッパ スモールキャップ ディビデンド インデックスに連動した成果を目指す。"
"DFEN","Direxion デイリー エアロスペース・アンド・ディフェンス ブル3倍 ETF","ダウ・ジョーンズ米国セレクト・エアロスペース・アンド・ディフェンス指数","NYSE Arca","https://www.direxion.com/uploads/DFEN-Fact-Sheet.pdf","ダウ・ジョーンズ米国セレクト・エアロスペース・アンド・ディフェンス指数の300%パフォーマンスに連動した成果を目指す。"
"DFJ","ウィズダムツリー日本小型株配当 ファンド","ウィズダムツリー ジャパン スモールキャップ ディビデンド インデックス","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dfj-1043.pdf","ウィズダムツリー ジャパン スモールキャップ ディビデンド インデックスに連動した成果を目指す。"
"DGRE","ウィズダムツリー 新興国株クオリティ配当成長ファンド","新興国市場にて配当支払を行う成長性のある企業の投資成果","NASDAQ","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dgre-1489.pdf","新興国市場にて配当支払を行う成長性のある企業の投資成果への連動を目指す。"
"DGRS","ウィズダムツリー 米国小型株クオリティ配当成長ファンド","米国市場にて配当支払を行う成長性のある時価総額の小さい企業の投資成果","NASDAQ","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/us-equity/wisdomtree-factsheet-dgrs-1488.pdf","米国市場にて配当支払を行う成長性のある時価総額の小さい企業の投資成果への連動を目指す。"
"DGRW","ウィズダムツリー 米国株クオリティ配当成長ファンド","配当支払を行う米国市場にて成長性のある、時価総額の大きい企業の投資成果","NASDAQ","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/us-equity/wisdomtree-dgrw_factsheet-1910.pdf","配当支払を行う米国市場にて成長性のある、時価総額の大きい企業の投資成果への連動を目指す。"
"DGS","ウィズダムツリー 新興国小型株配当型ファンド","新興国市場にて、配当支払を行う時価総額の小さい企業への投資成果","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/international-equity/wisdomtree-factsheet-dgs-1068.pdf","新興国市場にて、配当支払を行う時価総額の小さい企業への投資成果への連動を目指す"
"DHS","ウィズダムツリー 米国株　高配当ファンド","ウィズダムツリー ディビデンド インデックス","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/us-equity/wisdomtree-factsheet-dhs-1009.pdf","ウィズダムツリー ディビデンド インデックスに連動した成果を目指す。"
"DIA","SPDR ダウ工業株平均ETF","ダウジョーンズ工業株価平均（DJIA）","NYSE Arca","https://www.ssga.com/library-content/products/factsheets/etfs/us/factsheet-us-en-dia.pdf","ダウジョーンズ工業株価平均の値動きと利回りに、経費控除前で連動する投資成果を上げることを目標とします。ダウジョーンズ工業株価平均（DJIA）は、米国を代表する30の銘柄で構成され、100年以上の歴史を持つ最も古い米国株式市場の指数です。構成銘柄の株価を単純平均する手法で、1896年5月26日から算出されています。現在、世界で最も有名な株式指数のうちの一つとして、幅広い世代の投資家から認知されています。"
"DIV","グローバルX スーパーディビィデンド-米国低ベータ ETF","Indxx スーパーディビィデンドR U.S. ロー・ボラティリティインデックス","NYSE Arca","https://globalxetfs.co.jp/content/files/DIV-factsheet-JPN-1.pdf","Indxx スーパーディビィデンドR U.S. ロー・ボラティリティインデックスに連動する投資成果を目指します。"
"DJIA","グローバルX　ダウ30 カバード コール ETF","ダウ・ジョーンズ工業株価平均Cboe バイライト・V2・インデックス","NYSE Arca","https://www.globalxetfs.com/content/files/DJIA-factsheet.pdf","ダウ・ジョーンズ工業株価平均Cboe バイライト・V2・インデックスの価格および利回りのパフォーマンスに原則的に連動する投資成果を提供することを目指す。"
"DJTU","T-REX 2X ロング トランプ メディア テクノロジー グループ デイリーターゲットETF","--","CBOE","https://www.rexshares.com/wp-content/uploads/2025/03/t-rex-djtu-fact-sheet.pdf","トランプ メディア アンド テクノロジー(NASDAQ:DJT)の日次変動率の2 倍（200％）の投資成果を目指す。"
"DLLL","グラナイトS 2倍 ロング DELL デイリーETF","--","NASDAQ","https://graniteshares.com/media/qn4lpvuq/dlll-graniteshares-2x-long-dell-daily-etf.pdf","デル テクノロジーズ C(NYSE: DELL)普通株式の日次変動率の2 倍（200％）を目指します。"
"DLN","ウィズダムツリー 米国株大型株配当ファンド","米国市場にて配当支払を行う時価総額の大きい企業","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/us-equity/wisdomtree-factsheet-dln-1006.pdf","米国市場にて配当支払を行う時価総額の大きい企業の投資成果への連動を目指す。"
"DOGG","FT Vest ダウの犬10 ターゲットインカムETF","--","CBOE","https://www.ftportfolios.jp/content/funds/etf/dogg/firsttrustjapanfactsheetinstitutional","NYダウの配当利回り上位１０銘柄で構成される「ダウの犬」のカバードコール戦略のアクティブ運用ETF。NYダウの年間配当利回りを約8％上回ることを目指す。"
"DON","ウィズダムツリー 米国中型株配当ファンド","配当支払を行う時価総額の中位にあたる企業","NYSE Arca","https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/us-equity/wisdomtree-factsheet-don-1007.pdf","米国市場にて配当支払を行う時価総額の中位にあたる企業に投資することを目的とし、投資成果への連動を目指す。"
"DPST","Direxion デイリー 地方銀行 ブル3倍 ETF","S&P 地方銀行セレクト・インダストリー指数","NYSE Arca","https://www.direxion.com/uploads/DPST-Fact-Sheet.pdf","S&P 地方銀行セレクト・インダストリー指数の300%パフォーマンスに連動した成果を目指す。"
